,session,participant,time,depth_frame_id,depth_frame_time,color_frame_id,color_frame_time
14873,1,3,17228.856462849042,17347.0,1602189699996.9424,8942.0,1602189699943.6428
14874,1,3,17228.891222096256,17348.0,1602189700030.42,8943.0,1602189700010.506
14875,1,3,17228.923734540418,17349.0,1602189700063.6033,8943.0,1602189700010.506
14876,1,3,17228.956618885084,17350.0,1602189700097.099,8944.0,1602189700077.3865
14877,1,3,17228.99006113051,17351.0,1602189700130.3594,8944.0,1602189700077.3865
14878,1,3,17229.023040775304,17352.0,1602189700164.0957,8945.0,1602189700144.5496
14879,1,3,17229.057985922773,17353.0,1602189700197.445,8945.0,1602189700144.5496
14880,1,3,17229.09095156755,17354.0,1602189700230.4846,8946.0,1602189700211.398
14881,1,3,17229.12306851117,17355.0,1602189700264.1013,8946.0,1602189700211.398
14882,1,3,17229.157212457547,17356.0,1602189700297.5889,8947.0,1602189700278.3328
14883,1,3,17229.190758403114,17357.0,1602189700330.4316,8947.0,1602189700278.3328
14884,1,3,17229.224503548947,17358.0,1602189700364.1387,8948.0,1602189700345.2805
14885,1,3,17229.25798769443,17359.0,1602189700397.495,8948.0,1602189700345.2805
14886,1,3,17229.290223538213,17360.0,1602189700430.9885,8949.0,1602189700412.272
14887,1,3,17229.324611684926,17361.0,1602189700464.1763,8949.0,1602189700412.272
14888,1,3,17229.35686352873,17362.0,1602189700497.0913,8950.0,1602189700479.332
14889,1,3,17229.390452874355,17363.0,1602189700530.423,8950.0,1602189700479.332
14890,1,3,17229.424843821067,17364.0,1602189700564.4434,8951.0,1602189700546.1155
14891,1,3,17229.456208563668,17365.0,1602189700597.0488,8951.0,1602189700546.1155
14892,1,3,17229.489827309335,17366.0,1602189700630.9397,8952.0,1602189700613.014
14893,1,3,17229.523465955022,17367.0,1602189700664.2617,8952.0,1602189700613.014
14894,1,3,17229.557547601315,17368.0,1602189700697.0964,8953.0,1602189700680.2212
14895,1,3,17229.590955946696,17369.0,1602189700731.0552,8953.0,1602189700680.2212
14896,1,3,17229.62492859284,17370.0,1602189700764.2908,8954.0,1602189700747.0796
14897,1,3,17229.658026637793,17371.0,1602189700797.168,8954.0,1602189700747.0796
14898,1,3,17229.691561983345,17372.0,1602189700831.0283,8955.0,1602189700813.9563
14899,1,3,17229.723211026336,17373.0,1602189700864.1868,8955.0,1602189700813.9563
14900,1,3,17229.757123372397,17374.0,1602189700897.7676,8956.0,1602189700880.8948
14901,1,3,17229.790753418074,17375.0,1602189700930.7153,8956.0,1602189700880.8948
14902,1,3,17229.823677362798,17376.0,1602189700964.2383,8957.0,1602189700947.8533
14903,1,3,17229.856778507758,17377.0,1602189700997.3203,8957.0,1602189700947.8533
14904,1,3,17229.890407353432,17378.0,1602189701030.568,8958.0,1602189701014.8306
14905,1,3,17229.923030597747,17379.0,1602189701064.5247,8958.0,1602189701014.8306
14906,1,3,17229.95831344567,17380.0,1602189701097.7473,8959.0,1602189701081.8726
14907,1,3,17229.9898427885,17381.0,1602189701130.6353,8959.0,1602189701081.8726
14908,1,3,17230.02367463445,17382.0,1602189701163.921,8960.0,1602189701148.686
14909,1,3,17230.05715067992,17383.0,1602189701197.9524,8960.0,1602189701148.686
14910,1,3,17230.089396523716,17384.0,1602189701230.6025,8961.0,1602189701215.6003
