,session,participant,time,device_ts,system_ts,left_x,left_y,left_pupil,right_x,right_y,right_pupil
119,3,2,82758.59258383996,83511880000.0,74323690000.0,,,,,,
120,3,2,82758.6092559292,83511890000.0,74323710000.0,,,,,,
121,3,2,82758.62592801843,83511920000.0,74323730000.0,,,,,,
122,3,2,82758.64260010766,83511935000.0,74323750000.0,,,,,,
123,3,2,82758.65927219689,83511950000.0,74323760000.0,,,,,,
124,3,2,82758.67594428612,83511970000.0,74323780000.0,,,,,,
125,3,2,82758.69261637537,83511984000.0,74323800000.0,,,,,,
126,3,2,82758.7092884646,83512000000.0,74323810000.0,,,,,,
127,3,2,82758.72596055383,83512020000.0,74323830000.0,,,,,,
128,3,2,82758.74263264306,83512030000.0,74323845000.0,,,,,,
129,3,2,82758.75930473229,83512050000.0,74323860000.0,,,,,,
130,3,2,82758.77597682153,83512070000.0,74323880000.0,,,,,,
131,3,2,82758.79264891076,83512080000.0,74323894000.0,,,,,,
132,3,2,82758.809321,83512100000.0,74323910000.0,,,,,,
133,3,2,82758.82599308922,83512115000.0,74323930000.0,,,,,,
134,3,2,82758.84266517845,83512130000.0,74323940000.0,,,,,,
135,3,2,82758.8593372677,83512150000.0,74323960000.0,,,,,,
136,3,2,82758.87600935693,83512164000.0,74323980000.0,,,,,,
137,3,2,82758.89268144616,83512180000.0,74323990000.0,,,,,,
138,3,2,82758.90935353539,83512200000.0,74324010000.0,,,,,,
139,3,2,82758.92602562462,83512210000.0,74324025000.0,,,,,,
140,3,2,82758.94269771385,83512230000.0,74324040000.0,,,,,,
141,3,2,82758.9593698031,83512250000.0,74324060000.0,,,,,,
142,3,2,82758.97604189233,83512260000.0,74324074000.0,,,,,,
143,3,2,82758.99271398156,83512280000.0,74324090000.0,,,,,,
144,3,2,82759.00938607079,83512295000.0,74324110000.0,,,,,,
145,3,2,82759.02605816002,83512310000.0,74324120000.0,,,,,,
146,3,2,82759.04273024926,83512330000.0,74324140000.0,,,,,,
147,3,2,82759.05940233849,83512345000.0,74324160000.0,,,,,,
148,3,2,82759.07607442772,83512360000.0,74324170000.0,,,,,,
149,3,2,82759.09274651695,83512380000.0,74324190000.0,,,,,,
