,AnnotationTimestamp,VideoTime,arousal,session,participant,time
50,1602256820853,229108,-4,3,3,82997.90043385184
51,1602256826070,234324,-3,3,3,83003.11643385184
52,1602256834503,242746,-4,3,3,83011.53843385185
53,1602256834587,242841,-5,3,3,83011.63343385185
54,1602256851253,259516,-4,3,3,83028.30843385185
55,1602256851319,259564,-3,3,3,83028.35643385185
56,1602256851420,259660,-2,3,3,83028.45243385185
57,1602256851453,259708,-1,3,3,83028.50043385185
58,1602256851536,259804,0,3,3,83028.59643385185
59,1602256860369,268603,-2,3,3,83037.39543385185
60,1602256860386,268649,-3,3,3,83037.44143385185
61,1602256860436,268699,-4,3,3,83037.49143385184
62,1602256871552,279787,-3,3,3,83048.57943385185
63,1602256871569,279834,-2,3,3,83048.62643385185
64,1602256871619,279882,-1,3,3,83048.67443385185
65,1602256872153,280408,0,3,3,83049.20043385185
66,1602256872186,280449,1,3,3,83049.24143385184
67,1602256872236,280503,2,3,3,83049.29543385185
68,1602256876152,284376,3,3,3,83053.16843385185
69,1602256876219,284472,4,3,3,83053.26443385184
70,1602256877469,285713,5,3,3,83054.50543385185
71,1602256877502,285761,6,3,3,83054.55343385185
72,1602256877585,285856,7,3,3,83054.64843385185
73,1602256880436,288678,8,3,3,83057.47043385185
74,1602256900668,308934,9,3,3,83077.72643385184
75,1602256900785,309029,10,3,3,83077.82143385184
76,1602256907184,315440,11,3,3,83084.23243385185
77,1602256907235,315488,12,3,3,83084.28043385185
78,1602256908185,316445,13,3,3,83085.23743385186
79,1602256908235,316493,14,3,3,83085.28543385185
80,1602256924901,333142,15,3,3,83101.93443385186
81,1602256932434,340694,14,3,3,83109.48643385185
82,1602256932501,340740,13,3,3,83109.53243385185
83,1602256932534,340783,12,3,3,83109.57543385185
84,1602256932585,340838,11,3,3,83109.63043385185
85,1602256933701,341934,10,3,3,83110.72643385184
86,1602256933734,341982,9,3,3,83110.77443385185
87,1602256933768,342030,8,3,3,83110.82243385185
88,1602256933817,342078,7,3,3,83110.87043385184
89,1602256941350,349591,8,3,3,83118.38343385185
90,1602256941384,349636,9,3,3,83118.42843385185
91,1602256941417,349683,10,3,3,83118.47543385185
92,1602256941467,349735,11,3,3,83118.52743385185
93,1602256941518,349783,12,3,3,83118.57543385185
94,1602256950401,358668,13,3,3,83127.46043385185
95,1602256950451,358716,14,3,3,83127.50843385185
96,1602256950501,358763,15,3,3,83127.55543385186
97,1602256950551,358806,16,3,3,83127.59843385185
98,1602256985433,393684,17,3,3,83162.47643385184
99,1602256985466,393732,18,3,3,83162.52443385185
100,1602256985525,393779,19,3,3,83162.57143385184
101,1602256987366,395597,18,3,3,83164.38943385184
102,1602256987385,395645,16,3,3,83164.43743385185
103,1602256987433,395692,14,3,3,83164.48443385185
104,1602256995033,403268,15,3,3,83172.06043385185
105,1602256995083,403316,16,3,3,83172.10843385186
106,1602256995150,403407,17,3,3,83172.19943385186
107,1602256995234,403459,18,3,3,83172.25143385185
108,1602256997083,405323,19,3,3,83174.11543385185
109,1602256997116,405371,20,3,3,83174.16343385185
110,1602256997149,405418,21,3,3,83174.21043385185
111,1602256997199,405467,22,3,3,83174.25943385185
112,1602257002813,411063,21,3,3,83179.85543385184
113,1602257002867,411104,19,3,3,83179.89643385186
114,1602257004073,412306,18,3,3,83181.09843385185
115,1602257004111,412354,16,3,3,83181.14643385186
116,1602257004130,412401,15,3,3,83181.19343385185
117,1602257004183,412449,14,3,3,83181.24143385184
118,1602257012785,421052,13,3,3,83189.84443385185
119,1602257012841,421101,11,3,3,83189.89343385184
120,1602257012878,421148,10,3,3,83189.94043385185
121,1602257032182,440408,9,3,3,83209.20043385185
122,1602257032202,440456,8,3,3,83209.24843385186
123,1602257032240,440503,7,3,3,83209.29543385185
124,1602257032281,440550,6,3,3,83209.34243385185
125,1602257043915,452183,3,3,3,83220.97543385185
126,1602257043962,452231,1,3,3,83221.02343385185
127,1602257050282,458551,0,3,3,83227.34343385186
128,1602257050342,458594,-1,3,3,83227.38643385185
129,1602257056298,464557,0,3,3,83233.34943385185
130,1602257056340,464610,2,3,3,83233.40243385185
131,1602257056397,464651,4,3,3,83233.44343385185
132,1602257056452,464705,5,3,3,83233.49743385185
133,1602257057499,465746,6,3,3,83234.53843385185
134,1602257058905,467170,7,3,3,83235.96243385185
135,1602257058962,467217,8,3,3,83236.00943385185
136,1602257063514,471766,10,3,3,83240.55843385185
137,1602257063555,471807,12,3,3,83240.59943385185
138,1602257063596,471848,13,3,3,83240.64043385185
139,1602257064986,473227,11,3,3,83242.01943385185
