,session,participant,time,frame_time,frame_num,frame_dtime
11863,1,4,1904.5681344557104,1602266733.57,12638.0,0.03333333134651184
11864,1,4,1904.6014681647275,1602266733.603,12639.0,0.03333333134651184
11865,1,4,1904.6348018737447,1602266733.636,12640.0,0.03333333134651184
11866,1,4,1904.6681355827618,1602266733.67,12641.0,0.03333333134651184
11867,1,4,1904.701469291779,1602266733.703,12642.0,0.03333333134651184
11868,1,4,1904.734803000796,1602266733.736,12643.0,0.03333333134651184
11869,1,4,1904.768136709813,1602266733.77,12644.0,0.03333333134651184
11870,1,4,1904.8014704188304,1602266733.803,12645.0,0.03333333134651184
11871,1,4,1904.8348041278473,1602266733.836,12646.0,0.03333333134651184
11872,1,4,1904.8681378368647,1602266733.87,12647.0,0.03333333134651184
11873,1,4,1904.9014715458816,1602266733.903,12648.0,0.03333333134651184
11874,1,4,1904.934805254899,1602266733.936,12649.0,0.03333333134651184
11875,1,4,1904.9681389639159,1602266733.97,12650.0,0.03333333134651184
11876,1,4,1905.0014726729332,1602266734.003,12651.0,0.03333333134651184
11877,1,4,1905.0348063819501,1602266734.037,12652.0,0.03333333134651184
11878,1,4,1905.0681400909673,1602266734.07,12653.0,0.03333333134651184
11879,1,4,1905.1014737999844,1602266734.103,12654.0,0.03333333134651184
11880,1,4,1905.1348075090016,1602266734.136,12655.0,0.03333333134651184
11881,1,4,1905.1681412180187,1602266734.17,12656.0,0.03333333134651184
11882,1,4,1905.2014749270359,1602266734.203,12657.0,0.03333333134651184
11883,1,4,1905.234808636053,1602266734.237,12658.0,0.03333333134651184
11884,1,4,1905.2681423450701,1602266734.27,12659.0,0.03333333134651184
11885,1,4,1905.3014760540873,1602266734.303,12660.0,0.03333333134651184
11886,1,4,1905.3348097631044,1602266734.336,12661.0,0.03333333134651184
11887,1,4,1905.3681434721216,1602266734.37,12662.0,0.03333333134651184
11888,1,4,1905.4014771811387,1602266734.403,12663.0,0.03333333134651184
11889,1,4,1905.4348108901559,1602266734.436,12664.0,0.03333333134651184
11890,1,4,1905.468144599173,1602266734.47,12665.0,0.03333333134651184
11891,1,4,1905.5014783081901,1602266734.503,12666.0,0.03333333134651184
11892,1,4,1905.5348120172073,1602266734.536,12667.0,0.03333333134651184
11893,1,4,1905.5681457262244,1602266734.57,12668.0,0.03333333134651184
11894,1,4,1905.6014794352416,1602266734.603,12669.0,0.03333333134651184
11895,1,4,1905.6348131442587,1602266734.637,12670.0,0.03333333134651184
11896,1,4,1905.6681468532759,1602266734.67,12671.0,0.03333333134651184
11897,1,4,1905.701480562293,1602266734.703,12672.0,0.03333333134651184
11898,1,4,1905.7348142713101,1602266734.737,12673.0,0.03333333134651184
11899,1,4,1905.7681479803273,1602266734.77,12674.0,0.03333333134651184
11900,1,4,1905.8014816893444,1602266734.803,12675.0,0.03333333134651184
11901,1,4,1905.8348153983616,1602266734.836,12676.0,0.03333333134651184
11902,1,4,1905.8681491073785,1602266734.87,12677.0,0.03333333134651184
11903,1,4,1905.9014828163959,1602266734.903,12678.0,0.03333333134651184
11904,1,4,1905.9348165254128,1602266734.936,12679.0,0.03333333134651184
11905,1,4,1905.9681502344301,1602266734.97,12680.0,0.03333333134651184
11906,1,4,1906.001483943447,1602266735.003,12681.0,0.03333333134651184
11907,1,4,1906.0348176524644,1602266735.036,12682.0,0.03333333134651184
11908,1,4,1906.0681513614813,1602266735.07,12683.0,0.03333333134651184
11909,1,4,1906.1014850704987,1602266735.103,12684.0,0.03333333134651184
11910,1,4,1906.1348187795156,1602266735.136,12685.0,0.03333333134651184
11911,1,4,1906.1681524885328,1602266735.17,12686.0,0.03333333134651184
11912,1,4,1906.20148619755,1602266735.203,12687.0,0.03333333134651184
11913,1,4,1906.234819906567,1602266735.236,12688.0,0.03333333134651184
11914,1,4,1906.2681536155842,1602266735.27,12689.0,0.03333333134651184
11915,1,4,1906.3014873246013,1602266735.303,12690.0,0.03333333134651184
11916,1,4,1906.3348210336185,1602266735.336,12691.0,0.03333333134651184
11917,1,4,1906.3681547426356,1602266735.37,12692.0,0.03333333134651184
11918,1,4,1906.4014884516528,1602266735.403,12693.0,0.03333333134651184
11919,1,4,1906.43482216067,1602266735.436,12694.0,0.03333333134651184
11920,1,4,1906.468155869687,1602266735.47,12695.0,0.03333333134651184
11921,1,4,1906.5014895787042,1602266735.503,12696.0,0.03333333134651184
11922,1,4,1906.5348232877213,1602266735.536,12697.0,0.03333333134651184
11923,1,4,1906.5681569967385,1602266735.57,12698.0,0.03333333134651184
11924,1,4,1906.6014907057556,1602266735.603,12699.0,0.03333333134651184
11925,1,4,1906.6348244147728,1602266735.636,12700.0,0.03333333134651184
11926,1,4,1906.66815812379,1602266735.67,12701.0,0.03333333134651184
11927,1,4,1906.701491832807,1602266735.703,12702.0,0.03333333134651184
11928,1,4,1906.7348255418242,1602266735.736,12703.0,0.03333333134651184
11929,1,4,1906.7681592508413,1602266735.77,12704.0,0.03333333134651184
11930,1,4,1906.8014929598585,1602266735.803,12705.0,0.03333333134651184
11931,1,4,1906.8348266688756,1602266735.836,12706.0,0.03333333134651184
11932,1,4,1906.8681603778928,1602266735.87,12707.0,0.03333333134651184
11933,1,4,1906.90149408691,1602266735.903,12708.0,0.03333333134651184
11934,1,4,1906.934827795927,1602266735.936,12709.0,0.03333333134651184
11935,1,4,1906.968161504944,1602266735.97,12710.0,0.03333333134651184
11936,1,4,1907.0014952139613,1602266736.003,12711.0,0.03333333134651184
11937,1,4,1907.0348289229782,1602266736.036,12712.0,0.03333333134651184
11938,1,4,1907.0681626319956,1602266736.07,12713.0,0.03333333134651184
11939,1,4,1907.1014963410125,1602266736.103,12714.0,0.03333333134651184
11940,1,4,1907.13483005003,1602266736.136,12715.0,0.03333333134651184
11941,1,4,1907.1681637590468,1602266736.17,12716.0,0.03333333134651184
11942,1,4,1907.2014974680642,1602266736.203,12717.0,0.03333333134651184
11943,1,4,1907.234831177081,1602266736.236,12718.0,0.03333333134651184
11944,1,4,1907.2681648860982,1602266736.27,12719.0,0.03333333134651184
11945,1,4,1907.3014985951154,1602266736.303,12720.0,0.03333333134651184
11946,1,4,1907.3348323041325,1602266736.336,12721.0,0.03333333134651184
11947,1,4,1907.3681660131497,1602266736.37,12722.0,0.03333333134651184
11948,1,4,1907.4014997221668,1602266736.403,12723.0,0.03333333134651184
11949,1,4,1907.434833431184,1602266736.436,12724.0,0.03333333134651184
