,session,participant,time,frame_time,frame_num,frame_dtime,screen_resolution_width,screen_resolution_height
29794,2,2,22931.58896278544,1602195407.901,0.0,0.03333333134651184,1920,1080
29795,2,2,22931.622296521808,1602195407.934,0.0,0.03333333134651184,1920,1080
29796,2,2,22931.655630258174,1602195407.967,0.0,0.03333333134651184,1920,1080
29797,2,2,22931.68896399454,1602195408.001,0.0,0.03333333134651184,1920,1080
29798,2,2,22931.722297730907,1602195408.034,0.0,0.03333333134651184,1920,1080
29799,2,2,22931.75563146727,1602195408.067,0.0,0.03333333134651184,1920,1080
29800,2,2,22931.788965203636,1602195408.101,0.0,0.03333333134651184,1920,1080
29801,2,2,22931.822298940002,1602195408.134,0.0,0.03333333134651184,1920,1080
29802,2,2,22931.85563267637,1602195408.167,0.0,0.03333333134651184,1920,1080
29803,2,2,22931.888966412735,1602195408.201,0.0,0.03333333134651184,1920,1080
29804,2,2,22931.9223001491,1602195408.234,0.0,0.03333333134651184,1920,1080
29805,2,2,22931.955633885467,1602195408.267,0.0,0.03333333134651184,1920,1080
29806,2,2,22931.988967621834,1602195408.301,0.0,0.03333333134651184,1920,1080
29807,2,2,22932.0223013582,1602195408.334,0.0,0.03333333134651184,1920,1080
29808,2,2,22932.055635094566,1602195408.367,0.0,0.03333333134651184,1920,1080
29809,2,2,22932.088968830933,1602195408.401,0.0,0.03333333134651184,1920,1080
29810,2,2,22932.1223025673,1602195408.434,0.0,0.03333333134651184,1920,1080
29811,2,2,22932.155636303665,1602195408.467,0.0,0.03333333134651184,1920,1080
29812,2,2,22932.188970040028,1602195408.501,0.0,0.03333333134651184,1920,1080
29813,2,2,22932.222303776394,1602195408.534,0.0,0.03333333134651184,1920,1080
29814,2,2,22932.25563751276,1602195408.567,0.0,0.03333333134651184,1920,1080
29815,2,2,22932.288971249127,1602195408.601,0.0,0.03333333134651184,1920,1080
29816,2,2,22932.322304985493,1602195408.634,0.0,0.03333333134651184,1920,1080
29817,2,2,22932.35563872186,1602195408.667,0.0,0.03333333134651184,1920,1080
29818,2,2,22932.388972458226,1602195408.701,0.0,0.03333333134651184,1920,1080
29819,2,2,22932.422306194592,1602195408.734,0.0,0.03333333134651184,1920,1080
29820,2,2,22932.45563993096,1602195408.767,0.0,0.03333333134651184,1920,1080
29821,2,2,22932.488973667325,1602195408.801,0.0,0.03333333134651184,1920,1080
29822,2,2,22932.52230740369,1602195408.834,0.0,0.03333333134651184,1920,1080
29823,2,2,22932.555641140058,1602195408.867,0.0,0.03333333134651184,1920,1080
29824,2,2,22932.58897487642,1602195408.901,0.0,0.03333333134651184,1920,1080
29825,2,2,22932.622308612787,1602195408.934,0.0,0.03333333134651184,1920,1080
29826,2,2,22932.655642349153,1602195408.967,0.0,0.03333333134651184,1920,1080
29827,2,2,22932.68897608552,1602195409.001,0.0,0.03333333134651184,1920,1080
29828,2,2,22932.722309821886,1602195409.034,0.0,0.03333333134651184,1920,1080
29829,2,2,22932.755643558252,1602195409.067,0.0,0.03333333134651184,1920,1080
29830,2,2,22932.78897729462,1602195409.101,0.0,0.03333333134651184,1920,1080
29831,2,2,22932.822311030985,1602195409.134,0.0,0.03333333134651184,1920,1080
29832,2,2,22932.85564476735,1602195409.167,0.0,0.03333333134651184,1920,1080
29833,2,2,22932.888978503717,1602195409.201,0.0,0.03333333134651184,1920,1080
29834,2,2,22932.922312240084,1602195409.234,0.0,0.03333333134651184,1920,1080
29835,2,2,22932.95564597645,1602195409.267,0.0,0.03333333134651184,1920,1080
29836,2,2,22932.988979712813,1602195409.301,0.0,0.03333333134651184,1920,1080
29837,2,2,22933.02231344918,1602195409.334,0.0,0.03333333134651184,1920,1080
29838,2,2,22933.055647185545,1602195409.367,0.0,0.03333333134651184,1920,1080
29839,2,2,22933.08898092191,1602195409.401,0.0,0.03333333134651184,1920,1080
