,time,luminance,luminance_center,luminance_gaze,luminance_notcenter,luminance_notgaze
219,21945.743709759994,,,,,
220,21945.77704349636,,,,,
221,21945.810377232727,,,,,
222,21945.843710969093,,,,,
223,21945.87704470546,,,,,
224,21945.910378441826,,,,,
225,21945.943712178192,,,,,
226,21945.97704591456,,,,,
227,21946.01037965092,,,,,
228,21946.043713387287,,,,,
229,21946.077047123654,,,,,
230,21946.11038086002,,,,,
231,21946.143714596386,,,,,
232,21946.177048332753,,,,,
233,21946.21038206912,,,,,
234,21946.243715805485,,,,,
235,21946.27704954185,,,,,
236,21946.310383278218,,,,,
237,21946.343717014584,,,,,
238,21946.37705075095,,,,,
239,21946.410384487317,,,,,
240,21946.44371822368,,,,,
241,21946.477051960046,,,,,
242,21946.510385696412,,,,,
243,21946.54371943278,,,,,
244,21946.577053169145,,,,,
245,21946.61038690551,,,,,
246,21946.643720641878,,,,,
247,21946.677054378244,,,,,
248,21946.71038811461,,,,,
249,21946.743721850977,,,,,
250,21946.777055587343,,,,,
251,21946.81038932371,,,,,
252,21946.843723060072,,,,,
253,21946.87705679644,,,,,
254,21946.910390532805,,,,,
255,21946.94372426917,,,,,
256,21946.977058005537,,,,,
257,21947.010391741904,,,,,
258,21947.04372547827,,,,,
259,21947.077059214636,,,,,
260,21947.110392951003,,,,,
261,21947.14372668737,,,,,
262,21947.177060423735,,,,,
263,21947.2103941601,,,,,
264,21947.243727896464,,,,,
265,21947.27706163283,,,,,
266,21947.310395369197,,,,,
267,21947.343729105563,,,,,
268,21947.37706284193,,,,,
269,21947.410396578296,,,,,
270,21947.443730314662,,,,,
271,21947.47706405103,,,,,
272,21947.510397787395,,,,,
273,21947.54373152376,,,,,
274,21947.577065260128,,,,,
275,21947.610398996494,,,,,
276,21947.643732732857,,,,,
277,21947.677066469223,,,,,
278,21947.71040020559,,,,,
279,21947.743733941956,,,,,
280,21947.777067678322,,,,,
281,21947.81040141469,,,,,
282,21947.843735151055,,,,,
283,21947.87706888742,,,,,
284,21947.910402623787,,,,,
285,21947.943736360154,,,,,
286,21947.97707009652,,,,,
287,21948.010403832886,,,,,
288,21948.043737569253,,,,,
289,21948.077071305615,,,,,
290,21948.11040504198,,,,,
291,21948.143738778348,,,,,
292,21948.177072514714,,,,,
293,21948.21040625108,,,,,
294,21948.243739987447,,,,,
295,21948.277073723813,,,,,
296,21948.31040746018,,,,,
297,21948.343741196546,,,,,
298,21948.377074932912,,,,,
299,21948.41040866928,,,,,
300,21948.443742405645,,,,,
301,21948.477076142008,,,,,
302,21948.510409878374,,,,,
303,21948.54374361474,,,,,
304,21948.577077351107,,,,,
305,21948.610411087473,,,,,
306,21948.64374482384,,,,,
307,21948.677078560206,,,,,
308,21948.710412296572,,,,,
309,21948.74374603294,,,,,
310,21948.777079769305,,,,,
311,21948.81041350567,,,,,
312,21948.843747242037,,,,,
313,21948.8770809784,,,,,
314,21948.910414714766,,,,,
315,21948.943748451133,,,,,
316,21948.9770821875,,,,,
317,21949.010415923865,,,,,
318,21949.04374966023,,,,,
319,21949.077083396598,,,,,
320,21949.110417132964,,,,,
321,21949.14375086933,,,,,
322,21949.177084605697,,,,,
323,21949.210418342063,,,,,
324,21949.24375207843,,,,,
325,21949.277085814792,,,,,
326,21949.31041955116,,,,,
327,21949.343753287525,,,,,
328,21949.37708702389,,,,,
329,21949.410420760258,,,,,
330,21949.443754496624,,,,,
331,21949.47708823299,,,,,
332,21949.510421969357,,,,,
333,21949.543755705723,,,,,
334,21949.57708944209,,,,,
335,21949.610423178456,,,,,
336,21949.643756914822,,,,,
337,21949.67709065119,,,,,
338,21949.71042438755,,,,,
339,21949.743758123917,,,,,
340,21949.777091860284,,,,,
341,21949.81042559665,,,,,
342,21949.843759333016,,,,,
343,21949.877093069383,,,,,
344,21949.91042680575,,,,,
345,21949.943760542115,,,,,
346,21949.97709427848,,,,,
347,21950.010428014848,,,,,
348,21950.043761751214,,,,,
349,21950.07709548758,,,,,
350,21950.110429223943,,,,,
351,21950.14376296031,,,,,
352,21950.177096696676,,,,,
353,21950.210430433042,,,,,
354,21950.24376416941,,,,,
355,21950.277097905775,,,,,
356,21950.31043164214,,,,,
357,21950.343765378508,,,,,
358,21950.377099114874,,,,,
359,21950.41043285124,,,,,
360,21950.443766587607,,,,,
361,21950.477100323973,,,,,
362,21950.510434060336,,,,,
363,21950.543767796702,,,,,
364,21950.57710153307,,,,,
365,21950.610435269435,,,,,
366,21950.6437690058,,,,,
367,21950.677102742167,,,,,
368,21950.710436478534,,,,,
369,21950.7437702149,,,,,
370,21950.777103951266,,,,,
371,21950.810437687633,,,,,
372,21950.843771424,,,,,
